"name","eo_id","ovc_id","physical_address_state","physical_address_city","physical_address_line3","physical_address_line2","physical_address_line1","physical_address_location_name","physical_address_zip","mailing_address_state","mailing_address_line1","mailing_address_line2","mailing_address_line3","mailing_address_location_name","mailing_address_zip","mailing_address_city","elections_url","registration_url","am_i_registered_url","absentee_url","where_do_i_vote_url","what_is_on_my_ballot_url","rules_url","voter_services","hours","id"
"COUNTY OF NORTHUMBERLAND - PHYSICAL ADDRESS","50063","","VA","HEATHSVILLE","","72 MONUMENT PLACE","NORTHUMBERLAND CO. COURTHOUSE","COUNTY OF NORTHUMBERLAND - PHYSICAL ADDRESS","22473","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9AM-5PM","40063"
"COUNTY OF PATRICK - PHYSICAL ADDRESS","50067","","VA","STUART ","","106 RUCKER STREET","COUNTY ADMINISTRATION BLDG.","COUNTY OF PATRICK - PHYSICAL ADDRESS","24171-","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40067"
"PITTSYLVANIA COUNTY - PHYSICAL ADDRESS","50068","","VA","CHATHAM","","","110 OLD CHATHAM ELEM LANE","PITTSYLVANIA COUNTY - PHYSICAL ADDRESS","24531","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9:00 a.m. - 5:00 p.m.","40068"
"POWHATAN COUNTY REGISTRAR'S OFFICE","50069","","VA","POWHATAN","","SUITE E","3910 OLD BUCKINGHAM ROAD","POWHATAN COUNTY REGISTRAR'S OFFICE","23139","","","","","","","","http://www.powhatanva.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9:00 AM - 5:00 PM","40069"
"PRINCE EDWARD COUNTY REGISTRAR - PHYSICAL ADDRESS","50070","","VA","FARMVILLE","","","124 N MAIN STREET","PRINCE EDWARD COUNTY REGISTRAR - PHYSICAL ADDRESS","23901","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m. - 4:30 p.m.","40070"
"PRINCE GEORGE COUNTY","50071","","VA","PRINCE GEORGE","","PO BOX 34","6602 COURTS DRIVE STE 243","PRINCE GEORGE COUNTY","23875","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 am to 5:00 pm","40071"
"PRINCE WILLIAM COUNTY OFFICE OF ELECTIONS","50072","","VA","MANASSAS","","","9250 LEE AVENUE, STE. 1","PRINCE WILLIAM COUNTY OFFICE OF ELECTIONS","20110-5554","","","","","","","","http://www.pwcgov.org/vote","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 AM - 5:00 PM","40072"
"PULASKI COUNTY GENERAL REGISTRAR ","50073","","VA","PULASKI","","87 COMMERCE STREET","","PULASKI COUNTY GENERAL REGISTRAR ","24301","","","","","","","","http://www.pulaskicounty.org/","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 to 4:30","40073"
"RAPPAHANNOCK COUNTY REGISTRAR'S OFFICE","50074","","VA","WASHINGTON","","PO BOX 236","262A GAY STREET, COURTHOUSE COMPLEX","RAPPAHANNOCK COUNTY REGISTRAR'S OFFICE","22747","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 a.m. - 4:00 p.m.","40074"
"PHYSICAL ADDRESS OF RICHMOND COUNTY","50075","","VA","WARSAW","","","101 COURT STREET","PHYSICAL ADDRESS OF RICHMOND COUNTY","22572-1000","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9:00am-5:00pm","40075"
"ROANOKE COUNTY VOTER REGISTRATION AND ELECTIONS","50076","","VA","ROANOKE","","","5204 BERNARD DR.  SUITE 300B","ROANOKE COUNTY VOTER REGISTRATION AND ELECTIONS","24018","","","","","","","","http://www.roanokecountyva.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 am to 5:00 pm","40076"
"COUNTY OF ROCKBRIDGE-PHYSICAL ADDRESS","50077","","VA","LEXINGTON","","","150 SOUTH MAIN STREET","COUNTY OF ROCKBRIDGE-PHYSICAL ADDRESS","24450","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 am - 5:00 pm","40077"
"COUNTY OF ROCKINGHAM - PHYSICAL ADDRESS","50078","","VA","HARRISONBURG","","","20 E GAY STREET","COUNTY OF ROCKINGHAM - PHYSICAL ADDRESS","22802","","","","","","","","http://www.RockinghamVoters.com","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40078"
"RUSSELL COUNTY VOTER REGISTRATION","50079","","VA","LEBANON","PO BOX 383","96 RUSSELL ST","COURTHOUSE ANNEX","RUSSELL COUNTY VOTER REGISTRATION","24266","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 am - 4:00 pm","40079"
"SCOTT COUNTY VOTER REGISTRAR-PHYSICAL ADDRESS","50080","","VA","GATE CITY","","PO BOX 1892","382 JONES ST/ SUITE 102","SCOTT COUNTY VOTER REGISTRAR-PHYSICAL ADDRESS","24251","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40080"
"COUNTY OF SHENANDOAH - PHYSICAL ADDRESS","50081","","VA","WOODSTOCK","","SUITE 103","600 N. MAIN STREET","COUNTY OF SHENANDOAH - PHYSICAL ADDRESS","22664","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30am - 4:30pm","40081"
"GENERAL REGISTRAR PHYSICAL MAILING ADDRESS","50082","","VA","MARION","","SUITE 108","121 BAGLEY CIR","GENERAL REGISTRAR PHYSICAL MAILING ADDRESS","24354","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40082"
"GENERAL REGISTRAR'S OFFICE - PHYSICAL ADDRESS","50083","","VA","COURTLAND","","","22305 MAIN STREET","GENERAL REGISTRAR'S OFFICE - PHYSICAL ADDRESS","23837","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 am - 5:00 pm","40083"
"SPOTSYLVANIA COUNTY GENERAL REGISTRAR - PHYSICAL ADDRESS","50084","","VA","SPOTSYLVANIA","","","9106A COURTHOUSE ROAD","SPOTSYLVANIA COUNTY GENERAL REGISTRAR - PHYSICAL ADDRESS","22553","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30am - 4:30pm","40084"
"COUNTY OF STAFFORD - PHYSICAL ADDRESS","50085","","VA","STAFFORD","","","1300 COURTHOUSE ROAD","COUNTY OF STAFFORD - PHYSICAL ADDRESS","22554-7232","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40085"
"SURRY COUNTY - "PHYSICAL ADDRESS"","50086","","VA","SURRY","","45 SCHOOL STREET","SURRY GOVERNMENT CENTER","SURRY COUNTY - "PHYSICAL ADDRESS"","23883-","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40086"
"SUSSEX COUNTY REGISTRAR ","50087","","VA","SUSSEX","","PO BOX 1302","","SUSSEX COUNTY REGISTRAR ","23884","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9AM - 5PM","40087"
"TAZEWELL COUNTY REGISTRAR'S OFFICE - PHYSICAL ADDRESS","50088","","VA","TAZEWELL","3RD FLOOR ROOM 318","101 EAST MAIN STREET","","TAZEWELL COUNTY REGISTRAR'S OFFICE - PHYSICAL ADDRESS","24651","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40088"
"CITY OF BRISTOL-PHYSICAL ADDRESS","50096","","VA","BRISTOL","","SUITE 101","300 LEE STREET","CITY OF BRISTOL-PHYSICAL ADDRESS","24201","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8 am - 5 pm","40096"
"BUENA VISTA CITY","50097","","VA","BUENA VISTA","","2039 SYCAMORE AVENUE","COURTHOUSE","BUENA VISTA CITY","24416","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9:00 a.m. - 5:00 p.m.","40097"
"COVINGTON CITY - PHYSICAL ADDRESS","50101","","VA","COVINGTON","","515 E PINE ST","","COVINGTON CITY - PHYSICAL ADDRESS","24426","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40101"
"COUNTY OF WARREN - PHYSICAL ADDRESS","50089","","VA","FRONT ROYAL","","SUITE 700","220 NORTH COMMERCE AVE","COUNTY OF WARREN - PHYSICAL ADDRESS","22630","","","","","","","","http://www.warrencountyva.net","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9:00 A.M. TO 5:00 P.M.","40089"
"VOTER REGISTRATION - PHYSICAL ADDRESS","50090","","VA","ABINGDON","","","25544 LEE HIGHWAY","VOTER REGISTRATION - PHYSICAL ADDRESS","24211","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9:00a.m. - 5:00 p.m.","40090"
"GENERAL REGISTRAR PHYSICAL ADDRESS","50091","","VA","MONTROSS","","","105 COURT SQUARE","GENERAL REGISTRAR PHYSICAL ADDRESS","22520","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m. to 4:30 p.m.","40091"
"WISE COUNTY-PHYSICAL ADDRESS","50092","","VA","WISE","","WISE COUNTY JUSTICE CENTER","5607 PATRIOT DR","WISE COUNTY-PHYSICAL ADDRESS","24293","","","","","","","","http://www.wisecounty.org/registrar/registrar/html","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","Monday - Friday","40092"
"WYTHE COUNTY -- PHYSICAL ADDRESS","50093","","VA","WYTHEVILLE","","245 S 4TH ST, SUITE 101","LAW ENFORCEMENT & JUDICIAL CENTER","WYTHE COUNTY -- PHYSICAL ADDRESS","24382-","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40093"
"GENERAL REGISTRAR","50094","","VA","YORKTOWN","PO BOX 451","224 BALLARD ST.","COUNTY ADMINISTRATION BUILDING","GENERAL REGISTRAR","23690","","","","","","","","http://www.yorkcounty.gov/voting","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 a.m. to 5:00 p.m.","40094"
"OFFICE OF VOTER REGISTRATION AND ELECTIONS","50095","","VA","ALEXANDRIA","","SUITE 100","132 NORTH ROYAL STREET","OFFICE OF VOTER REGISTRATION AND ELECTIONS","22314","","","","","","","","http://www.alexandriavoter.org","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 am to 5:00 pm","40095"
"CHARLOTTESVILLE CITY","50098","","VA","CHARLOTTESVILLE","","PO BOX 911","CITY HALL ANNEX","CHARLOTTESVILLE CITY","22902","","","","","","","","https://www.charlottesville.org/vote","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 - 4:30","40098"
"CITY OF CHESAPEAKE-GENERAL REGISTRAR-PHYSICAL ADDRESS","50099","","VA","CHESAPEAKE","","","411 CEDAR ROAD","CITY OF CHESAPEAKE-GENERAL REGISTRAR-PHYSICAL ADDRESS","23322","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40099"
"CITY OF COLONIAL HEIGHTS PHYSICAL ADDRESS","50100","","VA","COLONIAL HEIGHTS","","","201 JAMES AVENUE","CITY OF COLONIAL HEIGHTS PHYSICAL ADDRESS","23834-9001","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40100"
"CITY OF DANVILLE - PHYSICAL ADDRESS","50102","","VA","DANVILLE","","","515 MAIN STREET","CITY OF DANVILLE - PHYSICAL ADDRESS","24541-","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40102"
"CITY OF EMPORIA - PHYSICAL ADDRESS","50103","","VA","EMPORIA","","","201 SOUTH MAIN STREET","CITY OF EMPORIA - PHYSICAL ADDRESS","23847","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9:00 am - 5:00 pm","40103"
"CITY OF FAIRFAX","50104","","VA","FAIRFAX","SISSON HOUSE","10455 ARMSTRONG STREET","GENERAL REGISTRAR","CITY OF FAIRFAX","22030","","","","","","","","http://www.fairfaxva.gov/government/general-registrar","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 AM to 5:00 PM ","40104"
"FALLS CHURCH VOTER REGISTRATION","50105","","VA","FALLS CHURCH","ROOM 101E","300 PARK AVENUE","FALLS CHURCH CITY HALL","FALLS CHURCH VOTER REGISTRATION","22046","","","","","","","","http://www.fallschurchva.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 a.m. - 5:00 p.m.","40105"
"CITY OF FRANKLIN, PHYSICAL ADDRESS","50106","","VA","FRANKLIN","","","100 S. MAIN STREET","CITY OF FRANKLIN, PHYSICAL ADDRESS","23851","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40106"
"FREDERICKSBURG CITY - PHYSICAL ADDRESS","50107","","VA","FREDERICKSBURG","","601 CAROLINE STREET, SUITE 500-A","EXECUTIVE PLAZA","FREDERICKSBURG CITY - PHYSICAL ADDRESS","22401","","","","","","","","http://www.fredericksburgva.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 AM - 4:30 PM","40107"
"CITY OF GALAX - PHYSICAL ADDRESS","50108","","VA","GALAX","","ROOM #102","111 E. GRAYSON ST.","CITY OF GALAX - PHYSICAL ADDRESS","24333","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 AM - 5:00 PM","40108"
"HAMPTON CITY REGISTRAR","50109","","VA","HAMPTON","","SUITE 280","1919 COMMERCE DR","HAMPTON CITY REGISTRAR","23666","","","","","","","","http://www.hampton.gov/voter","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 AM - 5:00 PM","40109"
"CITY OF HARRISONBURG - PHYSICAL ADDRESS","50110","","VA","HARRISONBURG","","","345 SOUTH MAIN ST","CITY OF HARRISONBURG - PHYSICAL ADDRESS","22801-","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40110"
"GENERAL REGISTRAR'S OFFICE","50111","","VA","HOPEWELL","","","309 N 2ND AVE","GENERAL REGISTRAR'S OFFICE","23860","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 am - 5:00 pm","40111"
"CITY OF LEXINGTON VOTER REGISTRAR OFFICE","50112","","VA","LEXINGTON","","PO BOX 922","300 E WASHINGTON ST","CITY OF LEXINGTON VOTER REGISTRAR OFFICE","24450","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9am to 5pm (closed daily - 12:30pm to 1:30pm)","40112"
"OFFICE OF THE GENERAL REGISTRAR - PHYSICAL ADDRESS","50113","","VA","LYNCHBURG","","","3236 ODD FELLOWS ROAD, SUITE 110","OFFICE OF THE GENERAL REGISTRAR - PHYSICAL ADDRESS","24501-5012","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40113"
"CITY OF MANASSAS - PHYSICAL ADDRESS","50114","","VA","MANASSAS","","SUITE 204","9324 WEST STREET","CITY OF MANASSAS - PHYSICAL ADDRESS","20110","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40114"
"VOTER REGISTRATION PHYSICAL ADDRESS","50115","","VA","MANASSAS PARK","","","ONE PARK CENTER COURT","VOTER REGISTRATION PHYSICAL ADDRESS","20111","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30am-4:30pm","40115"
"CITY OF MARTINSVILLE","50116","","VA","MARTINSVILLE","","ROOM 122, CITY HALL","55 W. CHURCH STREET","CITY OF MARTINSVILLE","24112","","","","","","","","http://www.martinsville.va-gov/Registrar/default.htm","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 am - 11 am; 12 - 5 pm","40116"
"CITY OF NEWPORT NEWS","50117","","VA","NEWPORT NEWS","","2400 WASHINGTON AVE","CITY HALL","CITY OF NEWPORT NEWS","23607-4305","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00a.m. - 5:00p.m.","40117"
"REGISTRAR'S OFFICE","50118","","VA","NORFOLK","","ROOM 808","810 UNION ST","REGISTRAR'S OFFICE","23510","","","","","","","","http://www.norfolk.gov/Elections/","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 am - 5:00 pm","40118"
"CITY OF NORTON","50119","","VA","NORTON","","COMMUNITY CENTER BUILDING","201 PARK AVENUE, NE","CITY OF NORTON","24273","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30am - 5:00pm","40119"
"PETERSBURG VOTER REGISTRATIONS","50120","","VA","PETERSBURG","","PO BOX 1031","229 N. MARKET STREET","PETERSBURG VOTER REGISTRATIONS","23804-1031","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 am -  4:30 pm","40120"
"CITY OF POQUOSON - PHYSICAL ADDRESS","50121","","VA","POQUOSON","","","500 CITY HALL AVE., RM 139","CITY OF POQUOSON - PHYSICAL ADDRESS","23662","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40121"
"CITY OF PORTSMOUTH ","50122","","VA","PORTSMOUTH","","","801 CRAWFORD STREET, FIRST FLOOR","CITY OF PORTSMOUTH ","23704","","","","","","","","http://www.portsmouthva.gov/registrar","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 A.M. - 5:00 P.M.","40122"
"GENERAL REGISTRAR'S OFFICE","50123","","VA","RADFORD","","","619 2ND STREET","GENERAL REGISTRAR'S OFFICE","24141","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 - 5:00","40123"
"CITY OF SALEM","50126","","VA","SALEM","","19 EAST CLAY STREET","PO BOX 203    ","CITY OF SALEM","24153","","","","","","","","https://www.ci.salem.va.us","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 AM TO 5:00 PM","40126"
"STAUNTON CITY - PHYSICAL ADDRESS","50127","","VA","","","116 W. BEVERLEY ST.","CITY HALL, FIRST FLOOR","STAUNTON CITY - PHYSICAL ADDRESS","24401","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","","40127"
"CITY OF SUFFOLK- PHYSICAL ADDRESS","50128","","VA","SUFFOLK","","","440 MARKET STREET","CITY OF SUFFOLK- PHYSICAL ADDRESS","23434-5238","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 AM-4:30 PM","40128"
"OFFICE OF THE GENERAL REGISTRAR","50124","","VA","RICHMOND","","PO BOX 61037","CITY HALL, 900 EAST BROAD STREET, ROOM 105, ","OFFICE OF THE GENERAL REGISTRAR","23261-1037","","","","","","","","http://www.richmondgov.com/departments/registrar/","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 AM to 5:00 PM","40124"
"CITY OF ROANOKE","50125","","VA","ROANOKE","ROOM 109","NOEL C. TAYLOR MUNICIPAL BUILDING","215 CHURCH AVENUE SW, MUNICIPAL NORTH","CITY OF ROANOKE","24011","","","","","","","","http://www.roanokeva.gov/registrar","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00AM-5:00PM","40125"
"CITY OF VIRGINIA BEACH - PHYSICAL ADDRESS","50129","","VA","VIRGINIA BEACH","MUNICIPAL CENTER","BUILDING 14","2449 PRINCESS ANNE RD","CITY OF VIRGINIA BEACH - PHYSICAL ADDRESS","23456","","","","","","","","http://www.vbgov.com/voter","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:00 a.m. - 5:00 p.m.","40129"
"CITY OF WAYNESBORO VOTER REGISTRATION","50130","","VA","WAYNESBORO","","SUITE 205","250 S WAYNE AVENUE","CITY OF WAYNESBORO VOTER REGISTRATION","22980","","","","","","","","","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","9:00-1:00 and 2:00-5:00","40130"
"CITY OF WILLIAMSBURG - PHYSICAL ADDRESS","50131","","VA","WILLIAMSBURG","","401 LAFAYETTE STREET","MUNICIPAL BUILDING, 1ST FLOOR","CITY OF WILLIAMSBURG - PHYSICAL ADDRESS","23185","","","","","","","","http://www.williamsburgva.gov/vote","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","http://www.vote.virginia.gov","","8:30 AM - 4:30 PM","40131"
